z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,spinAndParity,decayModes,massExcess(keV),massExcessUncertainty,betaMinus(keV),betaMinusUncertainty,positronEmission(keV),positronEmissionUncertainty,neutronSeparationEnergy(keV),neutronSeparationEnergyUncertainty,protonSeparationEnergy(keV),protonSeparationEnergyUncertainty,alpha(keV),alphaUncertainty,twoNeutronSeparationEnergy(keV),twoNeutronSeparationEnergyUncertainty,twoProtonSeparationEnergy(keV),twoProtonSeparationEnergyUncertainty,bindingEnergy(keV),bindingEnergyUncertainty
0,1,Neutron,0.0,613.9,s,6,1/2+,B- = 100.00,8071.3181,4,782.3470,4,,,0,,,,,,,,,,0,
1,0,1H,0.0,STABLE,,,1/2+,,7288.971064,13,,,-1804.3448,4,,,0,,,,,,,,0,
1,1,2H,0.0,STABLE,,,1+,,13135.722895,15,,,,,2224.5662,4,2224.5662,4,,,,,,,1112.28310,20
1,2,3H,0.0,12.32,y,2,1/2+,B- = 100.00,14949.81090,8,18.59202,6,,,6257.2301,4,,,,,8481.7963,9,,,2827.2654,3
1,3,4H,0.0,,,,2-,N = 100.00,2.462E+4,10,2.220E+4,10,,,-1.60E+3,10,,,,,4.66E+3,10,,,1720,25
1,4,5H,0.0,5.7,mev,21,(1/2+),2N = 100.00,3.289E+4,9,2.166E+4,9,,,-2.0E+2,13,,,,,-1.80E+3,9,,,1336,18
1,5,6H,0.0,1.6,mev,4,(2-),N = 100.00,4.19E+4,3,2.43E+4,3,,,-9.E+2,3,,,,,-1.1E+3,3,,,9.6E+2,4
1,6,7H,,500,ys,,(1/2+),2N?  ,4.91E+4,10,2.31E+4,10,,,0,AP,,,,,0,AP,,,9.4E+2,14
2,1,3He,0.0,STABLE,,,1/2+,,14931.21888,6,-1.37E+4,20,-1040.58982,6,,,5493.47510,10,,,,,7718.0413,4,2572.68044,15
2,2,4He,0.0,STABLE,,,0+,,2424.91587,15,-2.290E+4,21,-2.322E+4,10,20577.6211,5,19813.86610,20,0,,,,,,7073.91560,20
2,3,5He,0.0,0.60,mev,2,3/2-,A = 100.00,11231,20,-4.5E+2,5,-2.268E+4,9,-735,20,2.068E+4,10,735,20,19843,20,,,5512,4
2,3,5He,0.0,0.60,mev,2,3/2-,N = 100.00,11231,20,-4.5E+2,5,-2.268E+4,9,-735,20,2.068E+4,10,735,20,19843,20,,,5512,4
2,4,6He,0.0,806.7,ms,15,0+,B- = 100.00,17592.10,5,3505.21,5,-2.53E+4,3,1710,20,2.259E+4,9,,,975.46,5,,,4878.520,9
2,5,7He,0.0,150,kev,20,(3/2)-,N  ,26073,8,11166,8,-2.41E+4,10,-410,8,2.31E+4,3,,,1301,21,,,4123.1,11
2,6,8He,0.0,119.1,ms,12,0+,B- = 100.,31609.68,9,10663.88,10,,,2535,8,2.48E+4,10,,,2125.05,10,,,3924.521,11
2,6,8He,0.0,119.1,ms,12,0+,BN = 16.,31609.68,9,10663.88,10,,,2535,8,2.48E+4,10,,,2125.05,10,,,3924.521,11
2,7,9He,0.0,,,,1/2+,N = 100.00,4.094E+4,5,1.598E+4,5,,,-1.25E+3,5,,,,,1.28E+3,5,,,3349,5
2,8,10He,0.0,300,kev,200,0+,N = 100.00,4.920E+4,9,1.614E+4,9,,,-1.9E+2,10,,,,,-1.44E+3,9,,,2995,9
3,0,3Li,,,,,,P ? ,2.87E+4,20,,,1.27E+4,20,,,,,,,,,-6.8E+3,20,-2.3E+3,7
3,1,4Li,0.0,6.03,mev,,2-,P = 100.00,2.532E+4,21,,,2.188E+4,21,1.14E+4,20,-3.10E+3,21,,,,,2.39E+3,21,1.15E+3,5
3,2,5Li,0.0,1.5,mev,AP,3/2-,A = 100.00,1.168E+4,5,-2.55E+4,20,-5.7E+2,5,2.172E+4,22,-1.96E+3,5,1.96E+3,5,3.31E+4,20,1.785E+4,5,5266,10
3,2,5Li,0.0,1.5,mev,AP,3/2-,P = 100.00,1.168E+4,5,-2.55E+4,20,-5.7E+2,5,2.172E+4,22,-1.96E+3,5,1.96E+3,5,3.31E+4,20,1.785E+4,5,5266,10
3,3,6Li,0.0,STABLE,,,1+,,14086.8804,14,-4288,5,-4527.21,5,5.66E+3,5,4433,20,-1473.7583,15,2.738E+4,21,2.511E+4,10,5332.3312,3
